5411;	-50;	-10;	-0,119;	-0,784;	0,68;	0,1;	0;	0;	-0,1189;	0,0024;	-0,001;	0,0024
5534;	-49;	-10;	-0,121;	-0,783;	0,686;	0,1;	0;	0;	-0,1211;	0,0022;	-0,001;	0,0021
5657;	-49;	-10;	-0,124;	-0,787;	0,671;	0,2;	0;	0;	-0,1243;	0,0022;	-0,0011;	0,0022
5780;	-49;	-10;	-0,123;	-0,786;	0,673;	0,2;	0;	0;	-0,1233;	0,0021;	-0,0012;	0,0021
5903;	-49;	-10;	-0,12;	-0,79;	0,676;	0,2;	0;	0;	-0,1204;	0,0022;	-0,0011;	0,0022
6026;	-49;	-10;	-0,123;	-0,788;	0,664;	0,2;	0;	0;	-0,1233;	0,0019;	-0,0011;	0,0019
6149;	-49;	-10;	-0,122;	-0,79;	0,672;	0,2;	0;	0;	-0,1223;	0,0018;	-0,0012;	0,0018
6272;	-49;	-10;	-0,127;	-0,792;	0,677;	0,1;	0;	0;	-0,1267;	0,0017;	-0,0013;	0,0017
6394;	-49;	-10;	-0,123;	-0,782;	0,674;	0;	0;	0;	-0,1228;	0,0012;	-0,001;	0,0012
6517;	-49;	-10;	-0,122;	-0,784;	0,677;	-0,1;	0;	0;	-0,1218;	0,0009;	-0,0012;	0,0009
6644;	-50;	-12;	-0,124;	-0,797;	0,67;	-0,5;	0;	0;	-0,1243;	0,0013;	0,0101;	0,0013
6771;	-50;	-11;	-0,095;	-0,833;	0,572;	-0,9;	0;	0;	-0,0952;	0,003;	0,0114;	0,0031
6894;	-50;	-11;	-0,115;	-0,802;	0,635;	-1;	0;	0;	-0,1152;	0,0024;	0,0112;	0,0024
7020;	-54;	-14;	0,152;	-0,835;	0,871;	-1,2;	0;	0;	0,1519;	0,001;	0,0236;	0,001
7141;	-56;	-11;	0,034;	-1,26;	0,29;	-2,1;	0;	0;	0,0339;	0,0288;	0,0418;	0,0289
7261;	-44;	-4;	0,267;	-0,822;	1,085;	-1;	0;	0,001;	0,2668;	0,0678;	0,0451;	0,0678
7381;	-45;	-2;	-0,061;	-0,706;	0,798;	0,7;	0;	0,001;	-0,0613;	0,0738;	0,0719;	0,0739
7504;	-44;	-2;	-0,023;	-0,745;	0,763;	2,6;	0,001;	0,001;	-0,0229;	0,0959;	0,0641;	0,0961
7628;	-44;	5;	0,073;	-1,384;	-0,262;	4,4;	0,001;	0,002;	0,0732;	0,1199;	0,0505;	0,1198
7751;	-47;	-14;	-0,597;	-0,639;	0,56;	6,5;	0,001;	0,002;	-0,5972;	0,0549;	0,1609;	0,0551
